Segment,Brightness
1,102.07263427109974
2,99.04384133611691
3,100.68509741969457
4,95.36469962785752
5,96.13526570048309
6,95.52101293103448
7,92.52979414951245
8,90.50054406964091
9,90.70973062122044
10,85.50676041103299
11,86.29479452054794
12,83.89479452054795
13,79.16293056314926
14,73.70790190735694
15,69.45533769063181
16,63.909978308026034
17,61.74851592012952
18,60.030467899891185
19,61.49
20,62.23388385721896
21,58.994797086368365
22,61.060745278203164
23,61.6137165910237
24,63.53491827637444
25,67.22671867381764
26,67.12782316194138
27,71.63640617688348
28,75.11731581417175
29,77.30416857535502
30,79.53818346136467
31,82.16940862605603
32,85.58065934065934
33,79.77680906713165
34,82.76652360515021
35,81.58148464163823
36,88.40169133192389
37,88.43737081438611
38,85.26141078838174
39,89.37880032867707
40,89.28957055214724
41,94.41236274908499
42,96.32089249492901
43,99.11922141119221
44,97.94264943457189
45,101.67208451848842
46,97.31967871485944
47,91.82704019488429
48,86.93403908794788
49,82.6726604004904
50,79.16913580246914
51,77.59693454846727
52,74.65371762740183
53,75.50421585160203
54,76.1519691780822
55,76.80626057529611
56,79.25311559948432
57,82.77150304083406
58,88.97415681121332
59,91.779638607316
60,95.65401785714286
61,99.09841986455982
62,104.09818181818181
63,106.19832791453786
64,106.39045854562298
65,109.13103122043519
66,105.09386973180077
67,115.24806576402321
68,150.23365853658535
69,124.20168483647176
70,105.26501766784452
71,102.44088797108931
72,106.23867228661749
